"Name.i"	"Name.j"	"Source_patch"	"Target_patch"	"Sex.i"	"Sex.j"	"Fij"	"Management"	"Roads"	"Resistance_based_distance"	"Euclidean_distance"	"Landscape_resistance"	"Landscape_connectivity"
"AE101"	"SGLT42"	100	800	"F"	"F"	0.039394	"24"	"0"	7899.5	5505.66980484664	317.71	17.3292304455215
"AE101"	"PDA17"	100	904	"F"	"F"	0.103446	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE101"	"PDA18"	100	904	"F"	"M"	-0.03349	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE101"	"PDA25"	100	904	"F"	"F"	0.049764	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE101"	"PDA26"	100	904	"F"	"M"	-0.077648	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE101"	"PDA27"	100	904	"F"	"M"	0.026732	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE101"	"PDA28"	100	904	"F"	"M"	0.088707	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE101"	"PDA46"	100	904	"F"	"F"	0.028816	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE101"	"PDA47"	100	904	"F"	"M"	0.065761	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE101"	"PDA48"	100	904	"F"	"M"	0.132787	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE101"	"PDA49"	100	904	"F"	"F"	0.060911	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE101"	"PDA50"	100	904	"F"	"M"	0.110368	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE101"	"PDA51"	100	904	"F"	"M"	0.062693	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE101"	"PDA59"	100	904	"F"	"F"	0.086274	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE101"	"PDA61"	100	904	"F"	"M"	0.026017	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
"AE101"	"PDA65"	100	904	"F"	"M"	-0.015161	"12"	"1"	25394.7	19582.2394020704	862.96	22.6919433137926
